time_s,freq_Hz,amp_m,power_W,energy_Wh_cumulative
0.0,36.5017591,3.008896643e-05,0.003119045055,8.664014043e-07
60.0,51.36696293,9.41235632e-05,0.03052135625,0.0002008240064
120.0,41.10552816,7.781276126e-05,0.02085973383,0.0004397403415
180.0,70.15751683,6.176791983e-05,0.01314416675,0.0006144506509
240.0,69.34503807,9.462627026e-05,0.03084825155,0.0008689801434
300.0,55.3322773,5.715662887e-05,0.01125486579,0.001080574825
360.0,47.87737398,7.258503268e-05,0.01815102948,0.00126952609
420.0,36.78324066,9.901816306e-05,0.03377822615,0.00152296556
480.0,50.79487059,5.111186281e-05,0.009000166163,0.001745877889
540.0,22.55310546,2.902753503e-05,0.002902868912,0.002008127004
600.0,37.84669008,6.530360641e-05,0.01469201762,0.002232237079
660.0,67.35739994,5.559495438e-05,0.01064824083,0.002440511786
720.0,33.14121128,9.061883035e-05,0.02829072083,0.002646761398
780.0,37.16557124,5.82070133e-05,0.0116723349,0.002889340335
840.0,30.13908451,4.299323063e-05,0.0063680618,0.003132805188
900.0,57.45005535,3.615215459e-05,0.00450272558,0.003307531156
960.0,38.97998957,4.854766537e-05,0.008119771505,0.003552637663
1020.0,56.83793544,5.689049889e-05,0.01115030105,0.003744844134
1080.0,27.87662664,8.54666001e-05,0.02516517555,0.003954645108
1140.0,26.33085091,6.747618699e-05,0.01568585423,0.004111234995
1200.0,27.10323744,3.858378303e-05,0.005128811316,0.004329531824
1260.0,73.52349961,5.832707905e-05,0.01172053847,0.004539931952
1320.0,58.53457397,4.742699196e-05,0.007749224981,0.004747438931
1380.0,61.75293672,9.068146281e-05,0.02832984139,0.004959485539
1440.0,64.14564711,1.493305077e-05,0.0007682528709,0.005172203656
1500.0,41.35905939,3.608705779e-05,0.004486524655,0.005379726254
1560.0,59.67440035,3.228525379e-05,0.003591000933,0.005572324185
1620.0,76.68542929,8.959072874e-05,0.02765242653,0.005814388994
1680.0,47.29988892,7.032338798e-05,0.01703753182,0.006012371065
1740.0,53.10715108,5.692022786e-05,0.0111619576,0.006203920734
1800.0,60.92605976,4.083717307e-05,0.005745375921,0.006391805554
1860.0,73.12293377,7.469530065e-05,0.01922178291,0.00656403135
1920.0,43.61307906,9.511186252e-05,0.03116567097,0.006785651551
1980.0,75.29619491,4.463434103e-05,0.006863495659,0.00698078948
2040.0,59.92104226,8.211625795e-05,0.02323086651,0.007194156192
2100.0,42.72803988,7.618801373e-05,0.01999771669,0.007419600766
2160.0,22.62866637,2.725360548e-05,0.002558910158,0.007631681834
2220.0,75.25424605,1.536196509e-05,0.0008130189276,0.007787094752
2280.0,24.15554297,4.645616321e-05,0.007435219364,0.00797716561
2340.0,53.08982685,3.648887897e-05,0.004586993772,0.008199489782
2400.0,25.654554,5.529161373e-05,0.01053235865,0.008390573289
2460.0,43.47135323,7.278874332e-05,0.01825305454,0.008611114001
2520.0,23.23985205,9.103828398e-05,0.0285532294,0.008837147739
2580.0,55.48868013,6.549666345e-05,0.01477901404,0.009018060282
2640.0,64.15240389,8.133580055e-05,0.02279137883,0.009227485355
2700.0,45.17435499,8.612228215e-05,0.02555278071,0.009434663811
2760.0,56.21816284,8.221765557e-05,0.02328827314,0.009666611516
2820.0,79.73207301,8.759520735e-05,0.02643429904,0.009879431786
2880.0,39.31074773,8.118279729e-05,0.02270571236,0.01011723818
2940.0,26.74463539,5.281204329e-05,0.009608886198,0.01030621258
3000.0,43.62470599,7.698787982e-05,0.02041981617,0.01050094126
3060.0,40.71487774,8.848873855e-05,0.0269763456,0.01070655097
3120.0,79.27864878,5.09485853e-05,0.008942755711,0.01094510265
3180.0,56.32746952,2.674583921e-05,0.002464447481,0.01117890861
3240.0,76.40736731,3.115122377e-05,0.003343161321,0.01136305035
3300.0,51.38726159,8.374248099e-05,0.02416010155,0.01161265788
3360.0,59.66052955,6.165892998e-05,0.01309782176,0.01181932303
3420.0,70.05679519,6.164780528e-05,0.01309309589,0.01198217321
3480.0,43.45184974,9.94133013e-05,0.03404835236,0.01218042387
3540.0,74.77296551,5.449376561e-05,0.01023059158,0.01237978943
3600.0,54.0770638,1.013144667e-05,0.0003536307597,0.01257556487
3660.0,40.48934866,4.253200669e-05,0.006232163747,0.01277429517
3720.0,79.41549572,5.682309068e-05,0.01112389325,0.01296266702
3780.0,24.00764664,7.999658893e-05,0.02204702764,0.01318206633
3840.0,34.79748769,9.56475869e-05,0.03151774547,0.01343438692
3900.0,60.18705386,5.082159537e-05,0.00889823143,0.01364325871
3960.0,21.62252915,9.473613938e-05,0.030919928,0.01382162396
4020.0,57.55764049,9.681239729e-05,0.03229007527,0.01401643217
4080.0,59.07964121,3.710194836e-05,0.004742425769,0.01420664079
4140.0,38.87012473,6.208976554e-05,0.01328150067,0.01439629389
4200.0,39.68590135,7.490075499e-05,0.01932766989,0.0146075586
4260.0,56.92241741,9.027161997e-05,0.02807434167,0.01484067207
4320.0,27.92115007,1.639338964e-05,0.0009258585283,0.01502975791
4380.0,69.22134734,3.003079587e-05,0.003106996703,0.01523055411
