time_s,wind_speed_mps,power_W,energy_Wh_cumulative
0.0,5.115414388,8.113513843,0.002253753845
60.0,3.353799323,2.28653439,0.1364758179
120.0,3.043048231,1.708020296,0.2724894511
180.0,0.730615093,0,0.3981697657
240.0,5.378726379,9.43202352,0.5402871352
300.0,6.755874879,18.69008655,0.6456209677
360.0,1.400713016,0,0.767271563
420.0,4.034044233,3.979133292,0.8862361925
480.0,6.469536665,16.41292765,1.014630278
540.0,0.7628946838,0,1.121455957
600.0,6.509906034,16.72209472,1.250734885
660.0,0.3186148955,0,1.380618455
720.0,1.43852699,0,1.53085881
780.0,4.501470076,5.528783984,1.669978837
840.0,5.872612954,12.27610674,1.815291813
900.0,5.060666276,7.855785489,1.973246036
960.0,4.524416063,5.61376368,2.089336086
1020.0,3.074608083,1.761715654,2.20392164
1080.0,2.27340224,0.7121891786,2.33452801
1140.0,5.993554864,13.05028436,2.434682105
1200.0,4.458722385,5.372764651,2.529081761
1260.0,3.851964185,3.464282029,2.625369336
1320.0,7.921741136,30.13203472,2.738095682
1380.0,3.073309401,1.759484207,2.871421717
1440.0,0.6476723326,0,3.006592079
1500.0,3.356112041,2.291267909,3.151311134
1560.0,2.858928645,1.41636918,3.289444057
1620.0,1.45511403,0,3.424259198
1680.0,2.381180126,0.8183578772,3.535130465
1740.0,2.271422876,0.7103305699,3.653234674
1800.0,7.65933739,27.23579901,3.79526357
1860.0,1.582599955,0,3.903572064
1920.0,1.467554551,0,4.027448716
1980.0,3.27030068,2.119969307,4.139250753
2040.0,4.811723309,6.752560084,4.294157587
2100.0,1.24393026,0,4.449023274
2160.0,1.615992936,0,4.543598996
2220.0,4.466995744,5.4027284,4.711753066
2280.0,5.085498343,7.971995981,4.850554972
2340.0,7.625834888,26.87996587,4.980696093
2400.0,4.770507174,6.580519485,5.087548531
2460.0,3.943713091,3.717769461,5.20584386
2520.0,5.582173499,10.54329872,5.312231134
2580.0,7.179410566,22.43018674,5.435847318
2640.0,4.838974888,6.86794209,5.551013427
2700.0,6.967305771,20.50034318,5.670537988
2760.0,2.069192394,0.536993637,5.798623557
2820.0,5.414979005,9.624027403,5.928189158
2880.0,2.358375122,0.7950696478,6.021256469
2940.0,0.7369911921,0,6.162817564
3000.0,7.230316854,22.91070793,6.345351194
3060.0,1.454293641,0,6.490663931
3120.0,4.900868014,7.134861371,6.652745339
3180.0,1.578398031,0,6.805409465
3240.0,1.212559408,0,6.949622147
3300.0,2.986577007,1.614684481,7.08416871
3360.0,7.387631993,24.4389352,7.222894364
3420.0,1.058327868,0,7.366589388
3480.0,1.537985193,0,7.488155091
3540.0,1.814009597,0,7.641872547
3600.0,5.517102228,10.17887106,7.779607419
3660.0,1.964902722,0,7.944595968
3720.0,0.3372681703,0,8.066785897
3780.0,4.523370963,5.609874389,8.22205902
3840.0,4.891099351,7.092281638,8.386731239
3900.0,4.08742534,4.139196257,8.530506327
3960.0,7.392160364,24.48390349,8.69035183
4020.0,5.847653856,12.12024758,8.81980882
4080.0,0.39321381,0,8.953405293
4140.0,0.487366933,0,9.037709687
4200.0,1.303640003,0,9.154340337
4260.0,7.923885206,30.15650763,9.297970298
4320.0,0.7676304347,0,9.42077184
4380.0,6.373061081,15.68955992,9.578470713
4440.0,1.724955504,0,9.725531268
4500.0,5.209000845,8.56702044,9.822322041
4560.0,5.232958637,8.685772006,9.954387293
4620.0,6.575269147,17.23086672,10.10960656
4680.0,2.687905962,1.177087456,10.21987919
4740.0,5.577279973,10.51559516,10.34425687
4800.0,7.667489442,27.32285513,10.46535848
4860.0,0.09630632808,0,10.58071956
4920.0,5.839846292,12.07176489,10.71157053
4980.0,1.732104248,0,10.8425513
5040.0,0.2767582884,0,10.97765328
5100.0,1.606337579,0,11.12998079
5160.0,5.183293572,8.440806435,11.22105541
5220.0,3.708741701,3.092048391,11.35768754
5280.0,1.966639632,0,11.49624939
5340.0,3.529752626,2.665626698,11.60416251
5400.0,4.269339609,4.716812659,11.72124229
5460.0,2.884756072,1.45510324,11.83838877
5520.0,5.354879686,9.307127685,11.96958439
5580.0,0.423032308,0,12.09900596
5640.0,4.581259505,5.828022215,12.19589145
5700.0,1.348004233,0,12.31806752
5760.0,3.343894785,2.266336178,12.41706293
5820.0,1.248480063,0,12.51991534
5880.0,1.547696906,0,12.64188466
5940.0,1.733951891,0,12.75858869
6000.0,1.061242085,0,12.894445
6060.0,2.380779542,0.8179449314,13.03827188
6120.0,5.95877134,12.82438892,13.18012287
6180.0,5.047408811,7.794207508,13.29297045
6240.0,2.11972891,0.577307884,13.40864352
6300.0,6.729472771,18.47181797,13.50583893
6360.0,1.193997776,0,13.63200387
6420.0,7.180758479,22.44282271,13.73727879
6480.0,7.730968953,28.00711064,13.85761734
6540.0,0.4117149386,0,13.94428423
6600.0,5.510355863,10.14157625,14.07236648
6660.0,1.396139831,0,14.20172386
6720.0,3.961032491,3.766966291,14.33593421
6780.0,5.167230162,8.362573337,14.44481001
6840.0,7.030291625,21.06136627,14.61394775
6900.0,2.44438994,0.8852745567,14.74024377
6960.0,5.685107581,11.1373683,14.8856549
7020.0,3.266815008,2.113197779,15.00775963
7080.0,1.94210293,0,15.09609751
7140.0,1.774913863,0,15.26200742
7200.0,0.06528860845,0,15.41224701
7260.0,0.5815332779,0,15.52929763
7320.0,5.352842956,9.296511816,15.65600759
7380.0,1.707077541,0,15.82044186
7440.0,5.110644045,8.090836408,15.9101142
7500.0,2.561350261,1.018529084,16.03262642
7560.0,4.245464356,4.63812145,16.14558204
7620.0,2.685142535,1.173460708,16.26897135
7680.0,0.08504034448,0,16.38221066
7740.0,7.885840008,29.72421571,16.54330436
7800.0,2.841053319,1.389967585,16.66827679
7860.0,4.834451681,6.848700765,16.79217565
7920.0,4.023234423,3.947230926,16.91012005
7980.0,5.722123621,11.35633585,17.02963041
8040.0,6.51231205,16.74064269,17.16220621
8100.0,5.43453205,9.72865903,17.29419163
8160.0,5.864367754,12.22447201,17.44707255
8220.0,7.488006454,25.44867349,17.5918948
8280.0,2.392690047,0.8302824318,17.74475148
8340.0,3.493312368,2.583918338,17.85641762
8400.0,6.516941199,16.77636734,17.96730489
8460.0,2.32970723,0.7664265871,18.09920234
8520.0,3.537275563,2.682706744,18.21264437
8580.0,3.842357551,3.438427304,18.34090567
8640.0,2.749697083,1.260146619,18.4494702
8700.0,1.996198717,0,18.56804846
8760.0,6.172799774,14.25650563,18.71539065
8820.0,2.090231047,0.5535405005,18.8673377
8880.0,6.060120246,13.48994703,19.01770265
8940.0,3.944398869,3.719709265,19.11269741
9000.0,5.558297572,10.40858997,19.27402178
9060.0,7.152136178,22.17552162,19.4267279
9120.0,7.225604518,22.86594117,19.58934983
9180.0,2.483992566,0.9290035952,19.72190305
9240.0,6.721330033,18.40484575,19.85733935
9300.0,7.962624082,30.60096757,20.00096778
9360.0,1.148412306,0,20.10020863
9420.0,6.339039426,15.43962963,20.20272935
9480.0,7.378005141,24.34352022,20.34101043
9540.0,7.913668153,30.04000663,20.50239491
