time_s,flow_Lpm,power_W,energy_Wh_cumulative
0.0,0.07503226567,0.01472133052,4.089258479e-06
60.0,1.751016868,0.3435495095,0.005083683838
120.0,0.01768825075,0.003470434798,0.009738632724
180.0,2.885733307,0.5661808748,0.01467827438
240.0,1.753680275,0.3440720699,0.02023213624
300.0,0.7299494245,0.1432160771,0.02410163647
360.0,2.33742778,0.4586033305,0.02902717159
420.0,2.293212344,0.4499282619,0.03409881608
480.0,1.360296901,0.2668902519,0.038933475
540.0,1.584477557,0.3108744967,0.04436925004
600.0,2.117965083,0.4155447493,0.04910910441
660.0,0.1814065788,0.03559197075,0.05330035083
720.0,0.956632702,0.1876913361,0.05733360889
780.0,0.3029713285,0.05944297465,0.0626065894
840.0,1.769078504,0.3470932026,0.06743937247
900.0,0.602667247,0.1182433139,0.07163396532
960.0,1.093480307,0.2145408362,0.07675418929
1020.0,2.953344302,0.579446152,0.08130084926
1080.0,1.879442054,0.368746531,0.08637598445
1140.0,1.245553801,0.2443776557,0.09156899045
1200.0,2.845804692,0.5583468807,0.09654391566
1260.0,1.881601463,0.3691702071,0.1016222312
1320.0,0.2539903329,0.04983290331,0.1064248203
1380.0,0.5730094827,0.1124244605,0.1115603346
1440.0,2.642541744,0.5184666901,0.1164775679
1500.0,2.736313864,0.53686478,0.1213081282
1560.0,1.053807781,0.2067570867,0.1262906443
1620.0,2.629170039,0.5158431616,0.1318903444
1680.0,1.761625165,0.3456308573,0.1374573541
1740.0,0.2784587036,0.05463359764,0.1426435135
1800.0,0.9549118254,0.1873537002,0.1471525823
1860.0,0.5224398274,0.1025026941,0.1525952564
1920.0,1.705845798,0.3346869455,0.1577394177
1980.0,0.1164806931,0.02285351198,0.1623396375
2040.0,0.4376120958,0.08585949319,0.1677735861
2100.0,0.3791050794,0.07438041657,0.1727216602
2160.0,2.162308398,0.4242449078,0.17797499
2220.0,2.872847314,0.563652643,0.1826617767
2280.0,0.2507738503,0.04920182942,0.1877237652
2340.0,1.045660139,0.2051585193,0.1927433559
2400.0,2.201646812,0.4319631046,0.1974578245
2460.0,2.003098978,0.3930080195,0.2021092097
2520.0,1.510336208,0.296327964,0.2072730822
2580.0,2.695061676,0.5287711009,0.212784011
2640.0,0.4555426708,0.08937747202,0.2176462161
2700.0,0.3949446175,0.07748813396,0.2224447589
2760.0,1.902351538,0.3732413718,0.2271382571
2820.0,2.601188142,0.5103531135,0.2324227758
2880.0,1.12042556,0.2198274949,0.2374171461
2940.0,2.964574525,0.5816495218,0.2419328485
3000.0,1.26548798,0.2482887416,0.2471833099
3060.0,0.6551215718,0.1285348524,0.2525285621
3120.0,1.035438761,0.2031530848,0.2577789375
3180.0,2.963788737,0.5814953501,0.2629241615
3240.0,1.568341751,0.3077086515,0.267576304
3300.0,2.8107842,0.55147586,0.2724894098
3360.0,1.815614453,0.3562235557,0.2767499174
3420.0,2.585064872,0.5071897278,0.2816444717
3480.0,0.5098031736,0.1000233827,0.2870203237
3540.0,1.97107715,0.3867253369,0.2922440517
3600.0,1.661617162,0.3260092871,0.2973452104
3660.0,1.036056488,0.203274283,0.3018550527
3720.0,0.5788157182,0.1135636439,0.3063022858
3780.0,2.797455503,0.5488607697,0.3118361595
3840.0,0.5570666635,0.1092964794,0.3168983115
3900.0,2.326554109,0.4564699162,0.3217767902
3960.0,0.6360378306,0.1247906224,0.3266848575
4020.0,1.612505447,0.3163735687,0.3315876458
4080.0,1.782352179,0.3496974975,0.3369915453
4140.0,2.979623012,0.5846020349,0.3430681752
4200.0,1.679970025,0.3296101189,0.3483972735
4260.0,1.010432211,0.1982467998,0.3530893199
4320.0,1.611807217,0.316236576,0.3574424612
4380.0,2.625936242,0.5152086906,0.3625603571
4440.0,0.4949210605,0.09710351207,0.3669132807
4500.0,2.132266865,0.4183507589,0.3718216679
4560.0,1.718113856,0.3370939385,0.3769964955
4620.0,0.4520258837,0.08868747838,0.382368305
4680.0,0.1566763117,0.03073989235,0.3871784644
