time_s,vib_power_W,power_W,energy_Wh_cumulative
0.0,0.003119045055,0.006238090111,1.732802809e-06
60.0,0.03052135625,0.0610427125,0.0004016480127
120.0,0.02085973383,0.04171946765,0.0008794806831
180.0,0.01314416675,0.02628833351,0.001228901302
240.0,0.03084825155,0.0616965031,0.001737960287
300.0,0.01125486579,0.02250973158,0.00216114965
360.0,0.01815102948,0.03630205895,0.00253905218
420.0,0.03377822615,0.06755645231,0.00304593112
480.0,0.009000166163,0.01800033233,0.003491755778
540.0,0.002902868912,0.005805737823,0.004016254008
600.0,0.01469201762,0.02938403525,0.004464474159
660.0,0.01064824083,0.02129648167,0.004881023572
720.0,0.02829072083,0.05658144166,0.005293522797
780.0,0.0116723349,0.02334466979,0.005778680671
840.0,0.0063680618,0.0127361236,0.006265610376
900.0,0.00450272558,0.00900545116,0.006615062313
960.0,0.008119771505,0.01623954301,0.007105275326
1020.0,0.01115030105,0.0223006021,0.007489688267
1080.0,0.02516517555,0.05033035111,0.007909290215
1140.0,0.01568585423,0.03137170846,0.008222469991
1200.0,0.005128811316,0.01025762263,0.008659063648
1260.0,0.01172053847,0.02344107694,0.009079863904
1320.0,0.007749224981,0.01549844996,0.009494877862
1380.0,0.02832984139,0.05665968279,0.009918971077
1440.0,0.0007682528709,0.001536505742,0.01034440731
1500.0,0.004486524655,0.008973049311,0.01075945251
1560.0,0.003591000933,0.007182001865,0.01114464837
1620.0,0.02765242653,0.05530485305,0.01162877799
1680.0,0.01703753182,0.03407506364,0.01202474213
1740.0,0.0111619576,0.02232391521,0.01240784147
1800.0,0.005745375921,0.01149075184,0.01278361111
1860.0,0.01922178291,0.03844356581,0.0131280627
1920.0,0.03116567097,0.06233134193,0.0135713031
1980.0,0.006863495659,0.01372699132,0.01396157896
2040.0,0.02323086651,0.04646173302,0.01438831238
2100.0,0.01999771669,0.03999543339,0.01483920153
2160.0,0.002558910158,0.005117820317,0.01526336367
2220.0,0.0008130189276,0.001626037855,0.0155741895
2280.0,0.007435219364,0.01487043873,0.01595433122
2340.0,0.004586993772,0.009173987543,0.01639897956
2400.0,0.01053235865,0.0210647173,0.01678114658
2460.0,0.01825305454,0.03650610908,0.017222228
2520.0,0.0285532294,0.0571064588,0.01767429548
2580.0,0.01477901404,0.02955802809,0.01803612056
2640.0,0.02279137883,0.04558275766,0.01845497071
2700.0,0.02555278071,0.05110556143,0.01886932762
2760.0,0.02328827314,0.04657654628,0.01933322303
2820.0,0.02643429904,0.05286859808,0.01975886357
2880.0,0.02270571236,0.04541142471,0.02023447636
2940.0,0.009608886198,0.0192177724,0.02061242516
3000.0,0.02041981617,0.04083963235,0.02100188252
3060.0,0.0269763456,0.05395269119,0.02141310194
3120.0,0.008942755711,0.01788551142,0.0218902053
3180.0,0.002464447481,0.004928894961,0.02235781723
3240.0,0.003343161321,0.006686322642,0.02272610069
3300.0,0.02416010155,0.04832020309,0.02322531576
3360.0,0.01309782176,0.02619564352,0.02363864607
